record_type,polygon,corner_number,point_name,x_m,y_m,z_m,polyline_entity_elevation_m,next_corner,horizontal_side_length_m,slope_side_length_m,horizontal_perimeter_m,slope_perimeter_m,plan_area_m2,bounds_width_x_m,bounds_height_y_m,bounds_relief_z_m,layer,source_object_type,source_handle,association_note
polygon_corner,Polygon A,1,Pt3,623736.707000005,3870706.660000000,1655.849,1655.558,2,11.865188907,11.940615889,50.994681658,53.286464601,160.330387409,15.639193948,17.773727527,6.860,0,LWPOLYLINE,271,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon A,2,Pt8,623747.302942028,3870701.320644192,1654.509,1655.558,3,14.605412754,15.613727349,50.994681658,53.286464601,160.330387409,15.639193948,17.773727527,6.860,0,LWPOLYLINE,271,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon A,3,Pt5,623752.346193953,3870715.027711411,1648.989,1655.558,4,10.930167660,10.991549712,50.994681658,53.286464601,160.330387409,15.639193948,17.773727527,6.860,0,LWPOLYLINE,271,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon A,4,Pt4,623742.200710278,3870719.094371719,1650.149,1655.558,1,13.593912336,14.740571651,50.994681658,53.286464601,160.330387409,15.639193948,17.773727527,6.860,0,LWPOLYLINE,271,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon B,1,Pt8,623747.302942028,3870701.320644192,1654.509,1655.558,2,8.007574289,8.072782791,46.703086169,48.843645226,126.022555896,13.323718659,17.310493464,6.610,0,LWPOLYLINE,272,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon B,2,Pt7,623754.453925548,3870697.717217947,1653.485,1655.558,3,15.080099126,16.081442275,46.703086169,48.843645226,126.022555896,13.323718659,17.310493464,6.610,0,LWPOLYLINE,272,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon B,3,Pt6,623760.626660687,3870711.476096191,1647.899,1655.558,4,9.010000000,9.075692811,46.703086169,48.843645226,126.022555896,13.323718659,17.310493464,6.610,0,LWPOLYLINE,272,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon B,4,Pt5,623752.346193953,3870715.027711411,1648.989,1655.558,1,14.605412754,15.613727349,46.703086169,48.843645226,126.022555896,13.323718659,17.310493464,6.610,0,LWPOLYLINE,272,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon C,1,Pt8,623747.302942028,3870701.320644192,1654.509,1603.558,2,11.865188907,11.940615889,59.140546940,60.860605338,201.075624641,22.550307394,17.579034545,6.168,0,LWPOLYLINE,273,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon C,2,Pt3,623736.707000005,3870706.660000000,1655.849,1603.558,3,11.885729047,12.479622229,59.140546940,60.860605338,201.075624641,22.550307394,17.579034545,6.168,0,LWPOLYLINE,273,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon C,3,Pt2,623731.903618153,3870695.788106064,1659.653,1603.558,4,10.270569270,10.274662677,59.140546940,60.860605338,201.075624641,22.550307394,17.579034545,6.168,0,LWPOLYLINE,273,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon C,4,Pt1,623739.681719334,3870689.080965455,1659.363,1603.558,5,17.111485427,18.092921752,59.140546940,60.860605338,201.075624641,22.550307394,17.579034545,6.168,0,LWPOLYLINE,273,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
polygon_corner,Polygon C,5,Pt7,623754.453925548,3870697.717217947,1653.485,1603.558,1,8.007574289,8.072782791,59.140546940,60.860605338,201.075624641,22.550307394,17.579034545,6.168,0,LWPOLYLINE,273,Z is the uniquely nearest Pt label elevation; raw polyline elevation is recorded separately
survey_point,Polygon C,,Pt1,623739.681719334,3870689.080965455,1659.363,,,,,,,,,,,SurveyPoint,MTEXT,2AE,XY is the uniquely nearest boundary vertex to the text insertion point at 1.273 m
survey_point,Polygon C,,Pt2,623731.903618153,3870695.788106064,1659.653,,,,,,,,,,,SurveyPoint,MTEXT,2AF,XY is the uniquely nearest boundary vertex to the text insertion point at 2.975 m
survey_point,Polygon A; Polygon C,,Pt3,623736.707000005,3870706.660000000,1655.849,,,,,,,,,,,SurveyPoint,MTEXT,2B0,XY is the uniquely nearest boundary vertex to the text insertion point at 3.875 m
survey_point,Polygon A,,Pt4,623742.200710278,3870719.094371719,1650.149,,,,,,,,,,,SurveyPoint,MTEXT,2B1,XY is the uniquely nearest boundary vertex to the text insertion point at 1.670 m
survey_point,Polygon A; Polygon B,,Pt5,623752.346193953,3870715.027711411,1648.989,,,,,,,,,,,SurveyPoint,MTEXT,2B3,XY is the uniquely nearest boundary vertex to the text insertion point at 1.441 m
survey_point,Polygon B,,Pt6,623760.626660687,3870711.476096191,1647.899,,,,,,,,,,,SurveyPoint,MTEXT,2B4,XY is the uniquely nearest boundary vertex to the text insertion point at 1.451 m
survey_point,Polygon B; Polygon C,,Pt7,623754.453925548,3870697.717217947,1653.485,,,,,,,,,,,SurveyPoint,MTEXT,2B5,XY is the uniquely nearest boundary vertex to the text insertion point at 0.652 m
survey_point,Polygon A; Polygon B; Polygon C,,Pt8,623747.302942028,3870701.320644192,1654.509,,,,,,,,,,,SurveyPoint,MTEXT,2B6,XY is the uniquely nearest boundary vertex to the text insertion point at 1.900 m
